month,site,job_family,team_id,headcount_actual,headcount_planned,voluntary_leavers,engagement_score_avg,training_hours_avg,absenteeism_rate,critical_skill_coverage_rate,critical_role_flag,avg_coverage_rate,n_skills,total_open_positions,avg_time_to_fill,avg_offer_acceptance,attrition_rate,headcount_gap,headcount_gap_pct,year,quarter
2025-05-01,Lyon,Finance,262,146,45,47,10,37,0.0,0.3381358156697029,1,0.4615384615384615,3.0,428,143.26315789473685,0.6444564454523928,0.3219178082191781,101,2.2444444444444445,2025,2
2024-03-01,Madrid,Hr,136,41,31,41,10,44,0.0,0.6266278028013937,0,,,112,161.5,0.9353629462029353,1.0,10,0.3225806451612903,2024,1
2023-08-01,Lyon,Finance,287,140,143,29,10,69,0.3727170131953559,1.0,1,,,569,118.6086956521739,0.7912452673943784,0.20714285714285716,-3,-0.02097902097902098,2023,3
2024-09-01,Lyon,Hr,292,-5,166,-5,10,56,0.0,0.8172813545664701,0,,,261,168.0,0.5628571297971168,1.0,-171,-1.0301204819277108,2024,3
2024-07-01,Berlin,It,243,153,0,43,10,20,0.0948557931901263,0.6574531484430751,1,0.7368421052631579,1.0,443,130.0,0.8591785847633588,0.28104575163398693,153,,2024,3
2024-11-01,Paris,Operations,129,174,184,54,10,15,0.2566988374483692,0.7163015420688554,1,1.4545454545454546,2.0,182,118.22222222222223,0.803008810512742,0.3103448275862069,-10,-0.05434782608695652,2024,4
2023-11-01,Berlin,Operations,141,150,19,45,9,55,0.3575113802296969,1.0,1,,,440,146.64285714285714,0.6711744261584958,0.3,131,6.894736842105263,2023,4
2023-11-01,Paris,Hr,160,38,169,30,10,19,0.1630540055615246,0.0515346520082023,0,1.16,1.0,202,118.25,0.5584630932168014,0.7894736842105263,-131,-0.7751479289940828,2023,4
2024-12-01,Madrid,It,147,158,71,33,10,66,0.0305664416517721,0.6639464055353625,1,,,233,159.8,0.7211252672805971,0.2088607594936709,87,1.2253521126760563,2024,4
2025-12-01,Lyon,Hr,289,69,161,27,10,67,0.3913051900362141,0.8590547336537613,0,0.9285714285714286,1.0,285,141.33333333333334,0.4522320254132983,0.391304347826087,-92,-0.5714285714285714,2025,4
2024-12-01,Berlin,Hr,183,172,177,9,10,-10,0.0,0.8830700421934237,0,1.4166666666666667,1.0,353,146.14285714285714,0.5776937760509963,0.05232558139534884,-5,-0.02824858757062147,2024,4
2023-03-01,Berlin,Operations,192,87,10,3,2,59,0.2993038998679153,0.92803065709654,1,1.0120689655172415,1.0,437,115.36842105263158,0.7198446045647121,0.034482758620689655,77,7.7,2023,1
2024-10-01,Madrid,Finance,291,96,106,32,10,11,0.0,0.0801740930483109,1,,,269,177.84615384615384,0.7638439190537206,0.3333333333333333,-10,-0.09433962264150944,2024,4
2023-02-01,Madrid,It,284,143,42,55,10,64,0.2904710876043013,0.8369218638456242,1,1.7857142857142856,2.0,238,131.5,0.8598598488999173,0.38461538461538464,101,2.4047619047619047,2023,1
